Evento,Recinto,Artista,Ciudad,Pais,Fecha de incio,Productora
Passionfruit,Club Blondie,Drake,SANTIAGO,CHILE,18-05-2017,Producciones y eventos empire digital limitada
Concha Acústica UC 2022,Club Subterraneo,Marcianeke,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada
Fourplan Event,Olympiahalle,Luar La L,MUNICH,ALEMANIA,16-08-2016,Yataco
CLARITY,Estadio Nacional,Kesha,SANTIAGO,CHILE,17-08-2018,DG Medios y espectaculos s.a.
Passionfruit,Explanada Ciudad Empresarial,Drake,SANTIAGO,CHILE,13-04-2020,Reverb - productora de eventos
KAWAII,SALA SANTANA,Polima Westcoast,BILBAO,ESPAÑA,06/02/2022,Planet Events
DISCOTEKA,El Huevo,Lola Indigo,VALPARAISO,CHILE,30-09-2017,Global producciones spa
Entre Nosotros,Sala La Rivera,Tiago PZK,MADRID,ESPAÑA,21-12-2020,Live Nation
Como si no importara,Arena Ludwingsburg,Duki,LUDWINGSBURG,ALEMANIA,23-01-2021,fullevent.de
Younger now,HISTORY,Miley Cyrus,TORONTO,CANADA,27-03-2017,EventsEye
The After Hours,Teatro Caupolicán,The Weeknd,SANTIAGO,CHILE,08/05/2018,Apparcel producciones limitada
Plastic Hearts,UBS Arena,Miley Cyrus,NUEVA YORK,ESTADOS UNIDOS,23-05-2021,Los Angeles AV Production
Dolby Live,Palais 12,Aerosmith,BRUSELAS,BELGICA,07/06/2016,Top Bruselas
Anastasia,Teatro Cariola,Cami,SANTIAGO,CHILE,19-07-2019,G & t business group spa
CLARITY,Estadio Nacional,Zedd,SANTIAGO,CHILE,17-08-2018,DG Medios y espectaculos s.a.
Bigger than me,Estadio ANZ,Louis Tomlinson,SYDNEY,AUTRALIA,28-07-2019,CMG Audio Visual
Alpha Eventalist,Estadio Bicentario de La Florida,Duncan Laurence,SANTIAGO,CHILE,15-10-2021,DG Medios y espectaculos s.a.
Beto Cuevas,Kursaal Oostende,Beto Cuevas,OSTEND,BELGICA,12/04/2018,Litmind
Mystere,LAUT,Cirque du Solei,BARCELONA,ESPAÑA,10/08/2019,IndyRock
The After Hours,Teatro Coliseo,The Weeknd,SANTIAGO,CHILE,20-04-2018,Producciones oz limitada
Rio Concert,Vivo Rio,Anuel AA,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360
Frozen,Teatro Colon,Madonna,BUENOS AIRES,ARGENTINA,09/12/2019,FMG PRODUCCIONES
Niño Blessi,SOF Q8 Toinha Brasil,DrefQuila,BRASILIA,BRASIL,08/09/2019,Urban Music
Show Forest,Radio City Music Hall,Big Time Rush,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios
S.U.N.O,The Anthem,Pablo Chill-E,WASHINGTON DC,ESTADOS UNIDOS,16-06-2016,Los Angeles AV Production
Rio Concert,Vivo Rio,Maria Becerra,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360
Concha Acústica UC 2022,Club Subterraneo,Pablo Chill-E,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada
Que oso,Youtube Theatre,Snow,LOS ANGELES,ESTADOS UNIDOS,22-05-2018,Los Angeles AV Production
BZRP Tour,Pabellon Max Schmeling,Snow,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
Como si no importara,Arena Ludwingsburg,Duki,LUDWINGSBURG,ALEMANIA,23-01-2021,fullevent.de
EQILIBRIO,Festhalle,Polima Westcoast,FRANKFURT,ALEMANIA,14-08-2021,Europages
Paramore,Powerstation 33,Paramore,AUCKLAND,NUEVA ZELANDA,30-05-2016,manatua.nz
QueenB,Club Providencia,Beyonce,SANTIAGO,CHILE,06/08/2019,Casa eventos
BZRP Tour,Pabellon Max Schmeling,Bizarrap,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
Flicker,SALA SANTANA,Niall Horan,BILBAO,ESPAÑA,18-04-2021,IndyRock
I Aint Worried,Estadio Monumental,One Republic,BUENOS AIRES,ARGENTINA,01/12/2019,K PRODUCCIONES S.A.
Tomorrow Never Knows,Studio The Venue,The Beatles,AUCKLAND,NUEVA ZELANDA,07/03/2020,Ethno Nueva Zelanda
La Ultima Mision,Estadio Rose Bowl,Wisin & Yandel,LOS ANGELES,ESTADOS UNIDOS,12/08/2017,CSI DMC
Bachata en vivo,Irving Plaza,Prince Royce,NUEVA YORK,ESTADOS UNIDOS,05/11/2020,The Imagos
Perfect Specacular Paradise,Estadio Monumental,Alan Walker,SANTIAGO,CHILE,16-06-2016,Vision world producciones limitada
Five Day,Arena TSB Bank,Pearl Jam,WELLINGTON,NUEVA ZELANDA,08/07/2021,Event Management NZ
Same old love,Days Bay Pavilion,Selena Gomez,LOWER HUTT,NUEVA ZELANDA,28-03-2020,manatua.nz
Lotto,Estadio Nacional,EXO,SANTIAGO,CHILE,10/10/2021,Tolten eventos
Dangerous Woman,Days Bay Pavilion,Ariana Grande,LOWER HUTT,NUEVA ZELANDA,08/02/2018,Ethno Nueva Zelanda
Bachata en vivo,Irving Plaza,Prince Royce,NUEVA YORK,ESTADOS UNIDOS,05/11/2020,The Imagos
Passionfruit,Columbianhalle,Drake,BERLIN,ALEMANIA,10/10/2020,Europages
Twelve Carat Tour,Sala La Rivera,Post Malone,MADRID,ESPAÑA,08/07/2022,Live Nation
Map of the Soul,Shubert Theatre,BTS,BOSTON,ESTADOS UNIDOS,21-06-2020,The Imagos
Gowlding,Sala Apolo,Ellie Gowlding,BARCELONA,ESPAÑA,03/07/2019,Live Nation
Concha Acústica UC 2022,Club Subterraneo,Marcianeke,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada
Gowlding,Salitre Magico,Ellie Gowlding,BOGOTA,COLOMBIA,17-12-2022,Audio Level Eventos
DJs Apoyando a Chile,Teatro Teletón,David Guetta,SANTIAGO,CHILE,11/12/2016,Andeschimp spa
Seize The Day,Thunder Bay,My Chemical Romance,ONTARIO,CANADA,08/09/2022,EventsEye
Papi Juancho,Cirque Royal,Maluma,BRUSELAS,BELGICA,16-07-2021,Expat
Le Reve,The Fillmore Philadelphia,Cirque du Solei,PHILADELPHIA,ESTADOS UNIDOS,28-03-2017,Live Nation
"Young, Dumb and Broke",Teatro Municipal de Santiago,Khalid,SANTIAGO,CHILE,16-09-2022,G & t business group spa
How do you sleep,Teatro Municipal de Santiago,San Smith,SANTIAGO,CHILE,25-09-2021,Time for fun (t4f)
Anastasia,Salitre Magico,Cami,BOGOTA,COLOMBIA,07/12/2019,Ye & Ca Producciones
BZRP Tour,Pabellon Max Schmeling,Paulo Londra,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
Sin Despertar,Warehouse Live,Kudai,TEXAS,ESTADOS UNIDOS,26-02-2020,Hartmann Studios
Passionfruit,Columbianhalle,Drake,BERLIN,ALEMANIA,10/10/2020,Europages
Ye,El Huevo,Kanye West,VALPARAISO,CHILE,08/11/2022,G & t business group spa
BZRP Tour,Pabellon Max Schmeling,Cazzu,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
1989,Jeunesse Arena,Taylor Swift,RIO DE JANEIRO,BRASIL,13-07-2018,Somosfk
Phoenix Show,Espacio Unimed,Rita Ora,SAO PAULO,BRASIL,08/01/2016,Somosfk
Rio Concert,Vivo Rio,Drake,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360
The E.N.D World,Air Canada Centre,Black Eyed Peas,TORONTO,CANADA,12/05/2021,Eventos Toronto Shaddai
WAP,Madison Square Garden,Cardi B,NUEVA YORK,ESTADOS UNIDOS,23-12-2018,The Imagos
ShoNuf Lucky,Opera de Sidney,Hardwell,SYDNEY,AUTRALIA,10/02/2019,Sydney WorldPride
Bigger than me,Metropol,Louis Tomlinson,BERLIN,ALEMANIA,01/06/2020,Europages
La leyenda,UBS Arena,Gustavo Cerati,NUEVA YORK,ESTADOS UNIDOS,02/03/2018,Event Production Company
Show Forest,Radio City Music Hall,One Direction,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios
A7S Show,Barclaycard Arena,A7S,HAMBURG,ALEMANIA,19-12-2017,B+D Events
El Duko,Parque Bicentenario Cerrillos,Duki,SANTIAGO,CHILE,12/07/2018,Andres gardeweg producciones e.i.r.l
Golden,La Marina de Valencia,Harry Styles,VALENCIA,ESPAÑA,23-03-2022,LetsGo Company
Papi Juancho,Teatro Municipal de Santiago,Maluma,SANTIAGO,CHILE,18-09-2020,DG Medios y espectaculos s.a.
Fruta y te,Raley Field,Gepe,SACRAMENTO,ESTADOS UNIDOS,17-04-2017,The Imagos
Habana,Velodromo de Berlin,Camila Cabello,BERLIN,ALEMANIA,09/10/2018,Litmind
The After Hours,Teatro Coliseo,The Weeknd,SANTIAGO,CHILE,20-04-2018,Producciones oz limitada
AgendaMusic,Sala La Rivera,Ozuna,MADRID,ESPAÑA,20-06-2018,LetsGo Company
Ko Ko Pop,Estadio Nacional,EXO,BUENOS AIRES,ARGENTINA,14-01-2020,Ramasso Productora
Nobody like you,Palau Sant Jordi,Nicki Nicole,BARCELONA,ESPAÑA,26-07-2022,Live Nation
Cerca de ti,Teatro Cariola,Tiago PZK,SANTIAGO,CHILE,28-01-2022,Club providencia
CLARITY,Estadio Nacional,Kesha,SANTIAGO,CHILE,17-08-2018,DG Medios y espectaculos s.a.
Beto Cuevas,Kursaal Oostende,Beto Cuevas,OSTEND,BELGICA,12/04/2018,Litmind
Tren al Sur,Estadio Bicentario de La Florida,Los Prisioneros,SANTIAGO,CHILE,27-11-2018,Yellow House
El Duko,Parque Bicentenario Cerrillos,Duki,SANTIAGO,CHILE,12/07/2018,Andres gardeweg producciones e.i.r.l
EteSesh,FirstOntario Centre,Sech,HAMILTON,CANADA,07/07/2019,Canada Eventos
Anastasia,Salitre Magico,Cami,BOGOTA,COLOMBIA,07/12/2019,Ye & Ca Producciones
La Ultima Vuelta,Club RBX,Daddy Yankee,SANTIAGO,CHILE,11/12/2016,Street machine producciones s.a.
Caminemos de la Mano,Quinta Vergara,Pailita,VIÑA DEL MAR,CHILE,21-07-2016,Casa eventos
Paramore,Powerstation 33,Paramore,AUCKLAND,NUEVA ZELANDA,30-05-2016,manatua.nz
KAWAII,SALA SANTANA,Polima Westcoast,BILBAO,ESPAÑA,06/02/2022,Planet Events
CARAVANA,Carioca Club,Wos,SAO PAULO,BRASIL,29-07-2018,BRL Eventos
Nobody like you,Palau Sant Jordi,Nicki Nicole,BARCELONA,ESPAÑA,26-07-2022,Live Nation
TJB,Dodger Stadium,Jonas Brothers,LOS ANGELES,ESTADOS UNIDOS,25-06-2022,Hartmann Studios
Perfect All Experimenters,Aotea Centre,Anitta,AUCKLAND,NUEVA ZELANDA,24-07-2016,Event Management NZ
Nicky Jam Show,Radio City Music Hall,Nicky Jam,NUEVA YORK,ESTADOS UNIDOS,28-08-2019,Live Nation
Niño Blessi,Bikini Barcelona,DrefQuila,BARCELONA,ESPAÑA,19-04-2020,Live Nation
Twelve Carat Tour,The Anthem,Post Malone,WASHINGTON DC,ESTADOS UNIDOS,29-01-2018,AEG
La leyenda,UBS Arena,Gustavo Cerati,NUEVA YORK,ESTADOS UNIDOS,02/03/2018,Event Production Company
Bangerz,Don Haskins Center,Miley Cyrus,TEXAS,ESTADOS UNIDOS,08/12/2018,Hartmann Studios
Umbrella Concert,Movistar Arena,Rihanna,BUENOS AIRES,ARGENTINA,07/08/2019,ATOMIC FILMS
Revelation Magic Everything,Trafalgar Centre Paru,Afrojack,NELSON,NUEVA ZELANDA,04/01/2022,Queenstown Event Company
Drivers License Tour,ZAG Arena,Olivia Rodrigo,HANOVER,ALEMANIA,17-02-2016,MGC
Big Time,"Stage Live, Kalea",Big Time Rush,BILBAO,ESPAÑA,07/04/2016,Planet Events
Schulz Forever,Arena Ludwingsburg,Robin Schulz,LUDWINGSBURG,ALEMANIA,22-02-2017,B+D Events
Como si no importara,Arena Ludwingsburg,Emilia,LUDWINGSBURG,ALEMANIA,23-01-2021,fullevent.de
El Ultimo Concierto,Gran Arena Monticello,Soda Stereo,SANTIAGO,CHILE,19-07-2016,Sony music entertainment chile s.a.
Lotto,Estadio Nacional,EXO,SANTIAGO,CHILE,10/10/2021,Tolten eventos
Epic Show,Freiheitshalle,The Martinez Brothers,MUNICH,ALEMANIA,03/04/2022,B+D Events
Desesperados,Arena TSB Bank,Rauw Alejando,WELLINGTON,NUEVA ZELANDA,24-09-2019,Lets Dance
Material Girl,Estadio ANZ,Madonna,SYDNEY,AUTRALIA,21-06-2016,Event Hire Sydney
Umbrella Concert,Movistar Arena,Rihanna,BUENOS AIRES,ARGENTINA,07/08/2019,ATOMIC FILMS
Rio Concert,Vivo Rio,Maria Becerra,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360
Sueño Stereo,Shubert Theatre,Soda Stereo,BOSTON,ESTADOS UNIDOS,02/08/2020,Eveerlast Productions INC.
Disney Concert,Estadio Unico Diego Armando Maradona,Demi Lovato,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS
DJ Snake,Espacio Unimed,DJ Snake,SAO PAULO,BRASIL,15-02-2016,Brasil Stands
DISCOTEKA,Independance Club,Lola Indigo,MADRID,ESPAÑA,30/2/2021,IndyRock
Rio Concert,Vivo Rio,Bad Bunny,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360
Lively And Supreme,Mercedes-Benz Arena,Armin Van Buuren,BERLIN,ALEMANIA,11/09/2020,Eventveranstalter Hamburg
Show Forest,Radio City Music Hall,5 Seconds of Summer,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios
El Alfa Tour,The Brooklyn Monarch,El Alfa,NUEVA YORK,ESTADOS UNIDOS,25-08-2019,Event Production Company
PlanAhead,Luna Park,Alesso,BUENOS AIRES,ARGENTINA,02/05/2021,ESTADIUM LUNA PARK
Roads Time,Columbianhalle,Daft Punk,BERLIN,ALEMANIA,06/02/2020,Europages
Beyond Wonderland,Gran Arena Monticello,Marshmello,SANTIAGO,CHILE,29-06-2016,BDD Producciones
Paramore,Niceto Club,Paramore,BUENOS AIRES,ARGENTINA,11/01/2017,FEG ENTRETENIMIENTOS
Epic Show,Freiheitshalle,The Martinez Brothers,MUNICH,ALEMANIA,03/04/2022,B+D Events
Maria Becerra,Teatro Municipal de Santiago,Maria Becerra,SANTIAGO,CHILE,10/06/2022,Ais producciones
Tusa,Metropolitano Rosario,Nicki Minaj,BUENOS AIRES,ARGENTINA,07/11/2020,ESPECTACULOS GALLO
Younger now,HISTORY,Miley Cyrus,TORONTO,CANADA,27-03-2017,EventsEye
DJs Apoyando a Chile,Teatro Teletón,Hardwell,SANTIAGO,CHILE,11/12/2016,Andeschimp spa
EteSesh,FirstOntario Centre,Sech,HAMILTON,CANADA,07/07/2019,Canada Eventos
Mami Tour,Thunder Bay,Paloma Mami,ONTARIO,CANADA,09/07/2022,EventsEye
Habana,Velodromo de Berlin,Camila Cabello,BERLIN,ALEMANIA,09/10/2018,Litmind
Tren al Sur,Estadio Bicentario de La Florida,Los Prisioneros,SANTIAGO,CHILE,27-11-2018,Yellow House
Super Bass Tour,Warehouse Live,Nicki Minaj,TEXAS,ESTADOS UNIDOS,02/04/2022,The Imagos
Bigger than me,Teatro Colon,Louis Tomlinson,BUENOS AIRES,ARGENTINA,29-05-2021,PROSPERO PRODUCCIONES
Twelve Carat Tour,Teatro Mayor,Post Malone,BOGOTA,COLOMBIA,29-05-2022,Tyg Eventos y Producciones
Flicker,SALA SANTANA,Niall Horan,BILBAO,ESPAÑA,18-04-2021,IndyRock
Tusa,Metropolitano Rosario,Nicki Minaj,BUENOS AIRES,ARGENTINA,07/11/2020,ESPECTACULOS GALLO
Michael Jackson Tribute,Cupula Multiespacio,Michael Jackson,SANTIAGO,CHILE,13-11-2017,Time for fun (t4f)
AgendaMusic,Sala La Rivera,Becky G,MADRID,ESPAÑA,20-06-2018,LetsGo Company
Born this way,Irving Plaza,Lady Gaga,NUEVA YORK,ESTADOS UNIDOS,12/09/2020,CSI DMC
Perfect All Experimenters,Aotea Centre,Anitta,AUCKLAND,NUEVA ZELANDA,24-07-2016,Event Management NZ
The Misery,Spark Arena,Imagine Dragons,AUCKLAND,NUEVA ZELANDA,27-10-2020,Queenstown Event Company
Talking to the moon,Aotea Centre,Bruno Mars,AUCKLAND,NUEVA ZELANDA,24-02-2021,manatua.nz
Say you wont let go,Antel Arena,James Arthur,BUENOS AIRES,ARGENTINA,08/02/2022,PROSPERO PRODUCCIONES
Telepatia,Raley Field,Nathy Peluso,SACRAMENTO,ESTADOS UNIDOS,02/03/2017,Eveerlast Productions INC.
Material Girl,Estadio ANZ,Madonna,SYDNEY,AUTRALIA,21-06-2016,Event Hire Sydney
Me Veras Volver,Palau Sant Jordi,Soda Stereo,BARCELONA,ESPAÑA,06/09/2017,Live Nation
MJ Tribute,Warehouse Live,Michael Jackson,TEXAS,ESTADOS UNIDOS,12/01/2016,AEG
AgendaMusic,Sala La Rivera,Karol G,MADRID,ESPAÑA,20-06-2018,LetsGo Company
Disney Concert,Estadio Unico Diego Armando Maradona,Demi Lovato,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS
Lively And Supreme,Mercedes-Benz Arena,Armin Van Buuren,BERLIN,ALEMANIA,11/09/2020,Eventveranstalter Hamburg
Convencete,Thunder Bay,Princesa Alba,ONTARIO,CANADA,16-02-2020,EventsEye
Desesperados,Arena TSB Bank,Rauw Alejando,WELLINGTON,NUEVA ZELANDA,24-09-2019,Lets Dance
Perfect Specacular Paradise,Sala Apolo,Alan Walker,BARCELONA,ESPAÑA,26-02-2016,Live Nation
CARAVANA,Carioca Club,Wos,SAO PAULO,BRASIL,29-07-2018,BRL Eventos
Cerca de ti,Teatro Cariola,Tiago PZK,SANTIAGO,CHILE,28-01-2022,Club providencia
Disney Concert,Estadio Unico Diego Armando Maradona,Miley Cyrus,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS
The Real Slim Shady,Club Subterraneo,Eminem,SANTIAGO,CHILE,01/10/2020,DG Medios y espectaculos s.a.
The E.N.D World,Air Canada Centre,Black Eyed Peas,TORONTO,CANADA,12/05/2021,Eventos Toronto Shaddai
Disney Concert,Estadio Unico Diego Armando Maradona,Selena Gomez,BUENOS AIRES,ARGENTINA,15-03-2016,ATOMIC FILMS
Gowlding,Sala Apolo,Ellie Gowlding,BARCELONA,ESPAÑA,03/07/2019,Live Nation
La Criminal,Club Subterraneo,Natti Natasha,SANTIAGO,CHILE,06/11/2019,Glovox producciones limitada
Michael Jackson Tribute,Cupula Multiespacio,Michael Jackson,SANTIAGO,CHILE,13-11-2017,Time for fun (t4f)
Convencete,Thunder Bay,Princesa Alba,ONTARIO,CANADA,16-02-2020,EventsEye
Dont start now,Teatro Gran Rex,Dua Lipa,BUENOS AIRES,ARGENTINA,02/02/2017,FMG PRODUCCIONES
Fourplan Event,Olympiahalle,Luar La L,MUNICH,ALEMANIA,16-08-2016,Yataco
I Aint Worried,Luna Park,One Republic,BUENOS AIRES,ARGENTINA,15-05-2021,ESTADIUM LUNA PARK
Sub Focus,Moon Valencia,Coldplay,VALENCIA,ESPAÑA,15-02-2016,Ibolele Producciones
Get Jacked,Arena TSB Bank,Afrojack,WELLINGTON,NUEVA ZELANDA,16-01-2017,Event Management NZ
Best Part,Chango Club,Daniel Caesar,MADRID,ESPAÑA,11/08/2018,Planet Events
TJB,Dodger Stadium,Jonas Brothers,LOS ANGELES,ESTADOS UNIDOS,25-06-2022,Hartmann Studios
Mami Tour,Columbianhalle,Paloma Mami,BERLIN,ALEMANIA,19-12-2022,Nachhaltige Events
Passionfruit,Club Blondie,Drake,SANTIAGO,CHILE,18-05-2017,Producciones y eventos empire digital limitada
Map of the Soul,Teatro Municipal de Santiago,BTS,SANTIAGO,CHILE,05/12/2020,Capsule producciones spa
Rio Concert,Vivo Rio,Francisca Valenzuela,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360
Rio Concert,Vivo Rio,Francisca Valenzuela,RIO DE JANEIRO,BRASIL,26-02-2016,Agencia 360
Kill my mind,La Madeleine,Louis Tomlinson,BRUSELAS,BELGICA,28-01-2017,Xceed
DISCOTEKA,Mercedes-Benz Arena,Lola Indigo,BERLIN,ALEMANIA,04/10/2016,Bierlinerin
Dont start now,Teatro Gran Rex,Dua Lipa,BUENOS AIRES,ARGENTINA,02/02/2017,FMG PRODUCCIONES
Fourplan Event,Olympiahalle,Beele,MUNICH,ALEMANIA,16-08-2016,Yataco
Hips dont lie,Espacio Riesco,Shakira,SANTIAGO,CHILE,22-12-2017,Productora energy in motion limitada
Shivers,Lanxess Arena,Ed Sheeran,COLOGNE,ALEMANIA,01/03/2018,CK Events Germany
BZRP Tour,Pabellon Max Schmeling,Cazzu,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
The Encounter,Crypto.com Arena,One Direction,LOS ANGELES,ESTADOS UNIDOS,17-04-2022,Revelation
Everybody,Gran Arena Monticello,Madonna,SANTIAGO,CHILE,21-10-2016,DG Medios y espectaculos s.a.
Dangerous Woman,Days Bay Pavilion,Ariana Grande,LOWER HUTT,NUEVA ZELANDA,08/02/2018,Ethno Nueva Zelanda
Dia Cero,Forest National,La Ley,FOREST,BELGICA,14-11-2018,Global Journey
Real Scene,Phoenix Concert Theatre,Big Bang,TORONTO,CANADA,11/09/2021,Yataco
Anastasia,Pabellon Fuente de San Luis,Cami,VALENCIA,ESPAÑA,04/07/2020,Planet Events
Fourplan Event,Olympiahalle,Tini Stoessel,MUNICH,ALEMANIA,16-08-2016,Yataco
Nicky Jam Show,Radio City Music Hall,Nicky Jam,NUEVA YORK,ESTADOS UNIDOS,28-08-2019,Live Nation
Fourplan Event,Olympiahalle,Tini Stoessel,MUNICH,ALEMANIA,16-08-2016,Yataco
Entre Nosotros,Sala La Rivera,Tiago PZK,MADRID,ESPAÑA,21-12-2020,Live Nation
Talking to the moon,Aotea Centre,Bruno Mars,AUCKLAND,NUEVA ZELANDA,24-02-2021,manatua.nz
Me Veras Volver,Palau Sant Jordi,Soda Stereo,BARCELONA,ESPAÑA,06/09/2017,Live Nation
Shivers,Lanxess Arena,Ed Sheeran,COLOGNE,ALEMANIA,01/03/2018,CK Events Germany
Papi Juancho,Estadio Rose Bowl,Maluma,LOS ANGELES,ESTADOS UNIDOS,17-07-2022,Horwath Productions INC.
Shape of you,Aussie Stadium,Ed Sheeran,SYDNEY,AUTRALIA,20-04-2016,Event Hire Sydney
Super Freaky Girl,Casino de Viña del Mar,Nicki Minaj,VIÑA DEL MAR,CHILE,01/01/2022,Glovox producciones limitada
Belinda Comeback,E-Werk,Belinda,COLOGNE,ALEMANIA,30-01-2016,Europages
WAR,Shubert Theatre,U2,BOSTON,ESTADOS UNIDOS,10/05/2021,Live Nation
Beyond Wonderland,Gran Arena Monticello,Marshmello,SANTIAGO,CHILE,29-06-2016,BDD Producciones
"Young, Dumb and Broke",Trafalgar Centre Paru,Khalid,NELSON,NUEVA ZELANDA,09/06/2020,Event Management NZ
AgendaMusic,Sala La Rivera,Ozuna,MADRID,ESPAÑA,20-06-2018,LetsGo Company
Passionfruit,Explanada Ciudad Empresarial,Drake,SANTIAGO,CHILE,13-04-2020,Reverb - productora de eventos
Concha Acústica UC 2022,Club Subterraneo,Pailita,SANTIAGO,CHILE,24-10-2022,Eventos mudness limitada
El negrito ojos claros,Teatro Municipal de Valparaiso,Ozuna,VALPARAISO,CHILE,07/07/2018,Producciones musicales massivo reccords limitada
BZRP Tour,Pabellon Max Schmeling,Bizarrap,BERLIN,ALEMANIA,09/05/2020,Nachhaltige Events
Step by Step,City Hall el Rodeo,New Kids on the Block,MEDELLIN,COLOMBIA,28-03-2016,Onlygroundmusic
DJs Apoyando a Chile,Teatro Teletón,Afrojack,SANTIAGO,CHILE,11/12/2016,Andeschimp spa
AgendaMusic,Sala La Rivera,Becky G,MADRID,ESPAÑA,20-06-2018,LetsGo Company
Step by Step,City Hall el Rodeo,New Kids on the Block,MEDELLIN,COLOMBIA,28-03-2016,Onlygroundmusic
A7S Show,Barclaycard Arena,A7S,HAMBURG,ALEMANIA,19-12-2017,B+D Events
Real Scene,Phoenix Concert Theatre,Big Bang,TORONTO,CANADA,11/09/2021,Yataco
Show Forest,Radio City Music Hall,Big Time Rush,NUEVA YORK,ESTADOS UNIDOS,11/04/2016,Hartmann Studios
Perfect Specacular Paradise,Estadio Monumental,Alan Walker,SANTIAGO,CHILE,16-06-2016,Vision world producciones limitada
Niño Blessi,Bikini Barcelona,DrefQuila,BARCELONA,ESPAÑA,19-04-2020,Live Nation
One Night Only,Bilbao Arena,Bee Gees,BILBAO,ESPAÑA,10/08/2021,Ibolele Producciones
Super Bass Tour,Warehouse Live,Nicki Minaj,TEXAS,ESTADOS UNIDOS,02/04/2022,The Imagos
Twelve Carat Tour,Teatro Mayor,Post Malone,BOGOTA,COLOMBIA,29-05-2022,Tyg Eventos y Producciones
Salimo de Noche,Palacio de las Artes,Tiago PZK,VALENCIA,ESPAÑA,30-2-2019,LetsGo Company
